Website,Email,Status
https://www.solis-nekretnine.com/,,No email
https://estitor.com/me/nekretnine/namjena-prodaja,,Already Sent (Domain)
https://www.nekretninekrusevac.net/,info@nekretninekrusevac.net,Invalid MX
https://www.europolisnekretnine.com/prodaja-nekretnina/stan/beograd,,Already Sent (Domain)
https://nekretninegavrilovic.rs/2762-fantastican-stan-novogradnja-4-0-palilula,estatesistem@gmail.com,Already Sent
https://exporealestate.rs/,office@exporealestate.rs,Already Sent
https://www.smart-nekretnine.ba/,,No email
https://ontime.ba/,,Already Sent (Domain)
https://www.vila-portoroz.si/,vlasta@vila-portoroz.si,Sent
"https://www.nepremicnine.net/oglasi-prodaja/juzna-primorska/izola,koper,piran/stanovanje/",,No email
"https://www.nepremicnine.net/oglasi-prodaja/juzna-primorska/izola,koper,piran/",,No email
https://piran-nepremicnine.com/,,No email
https://www.bazanekretnina.com/nekretnine/slovenija/prodaja.k1/kuca.v2/,,No email
